event_id,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor_1,assoc_actor1,inter1,actor2,assoc_actor2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SOM54160,01-January-2026,2026,1,Strategic developments,Strategic developments,Looting/property destruction,Islamic State Somalia Province,,2,Civilians (Somalia),Pastoralists (Somalia),7,27,,706,Eastern Africa,Somalia,Bari,Bossaso,,Balade,11.2761,49.164,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"Looting: On 1 January 2026, Islamic State Somalia Province looted 20 goats and foodstuffs from a pastoralist in Balade (Bossaso, Bari).",0,,1769546450
SOM54169,01-January-2026,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Somalia (2022-),,1,Al Shabaab,,2,12,,706,Eastern Africa,Somalia,Middle Shabelle,Balcad,,Balcad,2.3468,45.3902,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 1 January 2026, government security forces (SNA) launched an airstrike targeting an Al Shabaab position in Maxamed Olow and Xirtirow areas in Balcad town (Balcad, Middle Shabelle). Casualities unknown.",0,,1768354736
SOM54238,01-January-2026,2026,1,Political violence,Violence against civilians,Attack,Islamic State Somalia Province,,2,Civilians (Somalia),Pastoralists (Somalia),7,27,Civilian targeting,706,Eastern Africa,Somalia,Bari,Qandala,,Dhaadaar,11.128,49.8755,2,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 1 January 2026, Islamic State Somalia Province attacked pastoralists near Dhaadaar village (Qandala, Bari), attempting to loot animals. Casualties unknown.",0,,1768354736
SOM54251,01-January-2026,2026,1,Strategic developments,Strategic developments,Looting/property destruction,Islamic State Somalia Province,,2,Civilians (Somalia),Pastoralists (Somalia),7,27,,706,Eastern Africa,Somalia,Bari,Qandala,,Gaatir-Oodan,11.0295,49.9414,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"Looting: On 1 January 2026, Islamic State Somalia Province looted animals and foodstuffs from a pastoralist in Gaatir-Oodan village (Qandala, Bari).",0,,1768354736
SOM54310,01-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),,6,,,0,60,,706,Eastern Africa,Somalia,Lower Juba,Kismaayo,,Kismayo,-0.3603,42.5463,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 1 January 2026, youth footballers protested at Stadium Wakeey in Alalnle area in Kismayo town (Kismaayo, Lower Juba) after the Jubaland administration sold the land to private investors.",0,crowd size=no report,1768354736
SOM54332,01-January-2026,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Somalia (2022-),,1,Al Shabaab,,2,12,,706,Eastern Africa,Somalia,Middle Shabelle,Balcad,,Masala,2.3091,45.3429,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 1 January 2026, government security forces (SNA) launched an airstrike targeting an Al Shabaab gathering position in Shuluda Daay'Warabe and Rastatha areas in Masala village (Balcad, Middle Shabelle). An unknown number of Al Shabaab were killed and wounded. Unspecified number of fatalities coded as 3.",3,,1768354736
SOM54362,01-January-2026,2026,1,Political violence,Violence against civilians,Attack,Darod-Marehan Sub-Clan Militia (Somalia),,4,Civilians (Somalia),Pastoralists (Somalia),7,47,Civilian targeting,706,Eastern Africa,Somalia,Galgaduud,Cabudwaaq,,Oodaale,5.5251,45.8855,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 1 January 2026, a Marehan clan militia shot and killed a civilian on the outskirts of Oodaale village (Cabudwaaq, Galgaduud) over clan revenge. During the attack, the victim was looking after camels.",1,,1768354736
SOM54369,01-January-2026,2026,1,Political violence,Battles,Armed clash,Military Forces of Somalia (2022-) Puntland Dervish Force,,1,Islamic State Somalia Province,,2,12,,706,Eastern Africa,Somalia,Bari,Qandala,,Qandala,11.471,49.8726,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 1 January 2026, Puntland dervish forces clashed with Islamic State Somalia Province in Tooga Jacel area in Qandala town (Qandala, Bari). There were no casualties.",0,,1768354736
SOM54404,01-January-2026,2026,1,Political violence,Violence against civilians,Attack,Islamic State Somalia Province,,2,Civilians (Somalia),Pastoralists (Somalia),7,27,Civilian targeting,706,Eastern Africa,Somalia,Bari,Bossaso,,Tasjiic,10.8623,49.4576,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 1 January 2026, Bossaso, Bari, Islamic State Somalia Province attacked a civilian pastoralist in Tasjiic village (Bossaso, Bari). Casualties unknown.",0,,1768354736
SOM54428,01-January-2026,2026,1,Strategic developments,Strategic developments,Change to group/activity,Islamic State Somalia Province,,2,,,0,20,,706,Eastern Africa,Somalia,Bari,Bossaso,,Xabley,10.723,49.4906,2,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"Movement of forces: On 1 January 2026, Islamic State Somalia Province arrived and regrouped, creating hideouts near Xabley village (Bossaso, Bari).",0,,1776191110
